Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status,Genişlik (product.metafields.piro.genislik),Derinlik (product.metafields.piro.derinlik),Yükseklik (product.metafields.piro.yukseklik),Garanti ay (product.metafields.piro.garanti),Teslim gün (product.metafields.piro.teslim)
work-table-700-w1400-311147,"Arbetsbord 700, B1400","<h3>Teknik bilgiler</h3><table>
<tr><td>Ölçüler</td><td>1400 × 700 × 850 mm</td></tr>
<tr><td>Ağırlık</td><td>50 kg</td></tr>
<tr><td>Höjdinställning till</td><td>900 mm</td></tr>
<tr><td>Snedkant</td><td>-</td></tr>
<tr><td>Grundbotten höjdställbar</td><td>nej</td></tr>
<tr><td>Leveransskick</td><td>Byggsats (enkel montering)</td></tr>
<tr><td>Utförande arbetsplatta</td><td>Heltäckande</td></tr>
<tr><td>Egenskaper</td><td>Scotch-Brite-slip, Ställfötter av fyrkantrör 40 x 40 mm, Förstärkning av underplattan, vattenavstötande och ljuddämpad, Förborrningar för montering av mellanhylla</td></tr>
<tr><td>Bärförmåga grundbottten, max.</td><td>100 kg</td></tr>
<tr><td>Höjdställbara fötter</td><td>ja</td></tr>
<tr><td>Mellanhylla</td><td>Finns som tillval</td></tr>
<tr><td>Bärförmåga totalt, max.</td><td>350 kg</td></tr>
<tr><td>Djup arbetsbänk</td><td>700 mm</td></tr>
<tr><td>Bredd arbetsyta</td><td>1400 mm</td></tr>
<tr><td>Material</td><td>CNS 18/10</td></tr>
<tr><td>Monteringssätt</td><td>Skruvsystem</td></tr>
<tr><td>Höjdinställning från</td><td>850 mm</td></tr>
<tr><td>Levereras vid förfrågan</td><td>-</td></tr>
<tr><td>Utförande grundbotten</td><td>Heltäckande</td></tr>
<tr><td>Grundbotten</td><td>ja</td></tr>
<tr><td>Bärförmåga arbetsplatta, max.</td><td>250 kg</td></tr>
<tr><td>Viktig information</td><td>-</td></tr>
</table>",Bartscher,Business & Industrial > Food Service,Arbetsbänkar,"kategori:stainless-steel-furniture, Rostfria möbler, alt:worktables, Arbetsbänkar, marka:Bartscher, ana-urun, sira:0734, siparis-uzerine",TRUE,Title,Default Title,311147,50000,shopify,0,continue,manual,5985.00,,TRUE,TRUE,https://api.bartscher.com/occ/v2/permalink/image/311147/311147,1,"Arbetsbord 700, B1400",FALSE,"Arbetsbord 700, B1400","Arbetsbord 700, B1400",active,1400,700,850,24,10
worktable-700-upstand-undershelf-180x70xh85cm-wtf-1807085-sa,WORKTABLE 700 + UPSTAND + UNDERSHELF — 180x70xH85cm,"<h3>Teknik bilgiler</h3><table>
<tr><td>Ölçüler</td><td>1800 × 700 × 850 mm</td></tr>
</table>",Unninox,Business & Industrial > Food Service,Arbetsbänkar,"kategori:stainless-steel-furniture, Rostfria möbler, alt:worktables, Arbetsbänkar, marka:Unninox, ana-urun, sira:0734",TRUE,Title,Default Title,WTF-1807085-SA,0,shopify,13,deny,manual,5950.80,,TRUE,TRUE,https://unninoxeurope.com/wp-content/uploads/2025/01/wtf207-met-opstaanderand-premium-2.jpg,1,WORKTABLE 700 + UPSTAND + UNDERSHELF — 180x70xH85cm,FALSE,WORKTABLE 700 + UPSTAND + UNDERSHELF — 180x70xH85cm,WORKTABLE 700 + UPSTAND + UNDERSHELF — 180x70xH85cm,active,1800,700,850,24,7
worktable-700-upstand-undershelf-180x70xh85cm-wtf-1807085-sa,,,,,,,,,,,,,,,,,,,,https://unninoxeurope.com/wp-content/uploads/2025/01/wtf207-met-opstaanderand-premium-4.jpg,2,WORKTABLE 700 + UPSTAND + UNDERSHELF — 180x70xH85cm,,,,,,,,,
worktable-700-upstand-undershelf-180x70xh85cm-wtf-1807085-sa,,,,,,,,,,,,,,,,,,,,https://unninoxeurope.com/wp-content/uploads/2025/01/wtf207-met-opstaanderand-premium-3.jpg,3,WORKTABLE 700 + UPSTAND + UNDERSHELF — 180x70xH85cm,,,,,,,,,
worktable-700-upstand-undershelf-180x70xh85cm-wtf-1807085-sa,,,,,,,,,,,,,,,,,,,,https://unninoxeurope.com/wp-content/uploads/2025/01/IMAGE-OPSTAAND.jpg,4,WORKTABLE 700 + UPSTAND + UNDERSHELF — 180x70xH85cm,,,,,,,,,
condensation-hood-silversteam2-116119,Kondenskåpa Silversteam2,"<p>Om ångugnen Silversteam2 används tillsammans med kondensationskåpan behövs inget frånluftssystem. Ångor som tränger ut under tillagningen förs samman via de båda inbyggda filtren i kondensationskåpan.</p>
<h3>Teknik bilgiler</h3><table>
<tr><td>Ölçüler</td><td>908 × 930 × 300 mm</td></tr>
<tr><td>Ağırlık</td><td>31.6 kg</td></tr>
<tr><td>Kapslingsklass</td><td>IP55</td></tr>
<tr><td>Motorkapacitet</td><td>383 W</td></tr>
<tr><td>På/av-knapp</td><td>ja</td></tr>
<tr><td>Lampor (antal + watt)</td><td>-</td></tr>
<tr><td>Anslutningsvärde</td><td>0.38 kW</td></tr>
<tr><td>Belysning</td><td>-</td></tr>
<tr><td>Antal fläktmotorer/frånluftsutgångar</td><td>1</td></tr>
<tr><td>Spänning</td><td>230 V</td></tr>
<tr><td>Med motor</td><td>ja</td></tr>
<tr><td>Driftssätt</td><td>Frånluft</td></tr>
<tr><td>Inklusive</td><td>Anslutningsmaterial, Fästmaterial</td></tr>
<tr><td>Monteringssätt</td><td>Upptill på produkten</td></tr>
<tr><td>Frekvens</td><td>50/60 Hz</td></tr>
<tr><td>Luftgenomströmning max.</td><td>830 m³/h</td></tr>
<tr><td>Levereras vid förfrågan</td><td>-</td></tr>
<tr><td>Antal filter</td><td>2</td></tr>
<tr><td>Egenskaper</td><td>-</td></tr>
<tr><td>Material filter</td><td>Rostfritt stål</td></tr>
<tr><td>Material</td><td>Rostfritt stål</td></tr>
<tr><td>Reglering fläkt</td><td>Vred, Manuell, Steglös</td></tr>
</table>",Bartscher,Business & Industrial > Food Service,Kåpor,"kategori:ventilation, Ventilation, alt:extraction-hoods, Kåpor, marka:Bartscher, ana-urun, sira:0733, siparis-uzerine",TRUE,Title,Default Title,116119,31600,shopify,0,continue,manual,38737.20,,TRUE,TRUE,https://api.bartscher.com/occ/v2/permalink/image/116119/116119,1,Kondenskåpa Silversteam2,FALSE,Kondenskåpa Silversteam2,Om ångugnen Silversteam2 används tillsammans med kondensationskåpan behövs inget frånluftssystem. Ångor som tränger ut under tillagningen förs samman via de båda inbyggda filtren i kondensationskåpan.,active,908,930,300,24,10
condensation-hood-silversteam2-116119,,,,,,,,,,,,,,,,,,,,https://api.bartscher.com/occ/v2/permalink/image/116119/116119_3,2,Kondenskåpa Silversteam2,,,,,,,,,
condensation-hood-silversteam2-116119,,,,,,,,,,,,,,,,,,,,https://api.bartscher.com/occ/v2/permalink/image/116119/116119_4,3,Kondenskåpa Silversteam2,,,,,,,,,
chicken-grill-p8n-215036,Kycklinggrill P8N,"<h3>Teknik bilgiler</h3><table>
<tr><td>Ölçüler</td><td>880 × 430 × 530 mm</td></tr>
<tr><td>Ağırlık</td><td>41 kg</td></tr>
<tr><td>Anslutningsvärde</td><td>3.5 kW</td></tr>
<tr><td>Driftssätt</td><td>El</td></tr>
<tr><td>Invändig belysning</td><td>ja</td></tr>
<tr><td>Kapacitet</td><td>8 Kyckling</td></tr>
<tr><td>Spänning</td><td>230 V</td></tr>
<tr><td>Antal spett</td><td>2</td></tr>
<tr><td>Material</td><td>CNS 18/10</td></tr>
<tr><td>Produktanslutning</td><td>Klar för anslutning med kontakt</td></tr>
<tr><td>Frekvens</td><td>50 Hz</td></tr>
<tr><td>Inklusive</td><td>2 spett med klamrar</td></tr>
<tr><td>Viktig information</td><td>-</td></tr>
</table>",Bartscher,Business & Industrial > Food Service,Grillar,"kategori:grills, Grillar, alt:grills-grills, Grillar, marka:Bartscher, ana-urun, sira:0733, siparis-uzerine",TRUE,Title,Default Title,215036,41000,shopify,0,continue,manual,34758.60,,TRUE,TRUE,https://api.bartscher.com/occ/v2/permalink/image/215036/215036,1,Kycklinggrill P8N,FALSE,Kycklinggrill P8N,Kycklinggrill P8N,active,880,430,530,24,10
potato-peeling-machine-10kg-120198,Potatisskalare 10KG,"<p>Nyskalad potatis utan en massa jobb – upp till 130 kg potatis i timme kan skalas med hjälp av friktionsskivan. Egenskaper som en timer och en nödavstängning sörjer för friktionsfritt och säkert arbete.</p>
<h3>Teknik bilgiler</h3><table>
<tr><td>Ölçüler</td><td>560 × 680 × 870 mm</td></tr>
<tr><td>Ağırlık</td><td>38.2 kg</td></tr>
<tr><td>På/av-knapp</td><td>nej</td></tr>
<tr><td>Varvtal max.</td><td>240 v / min.</td></tr>
<tr><td>Tidsinställning från</td><td>0 Minut/er</td></tr>
<tr><td>Spänning</td><td>230 V</td></tr>
<tr><td>Vattenanslutning</td><td>3/4""</td></tr>
<tr><td>Volym</td><td>10 kg</td></tr>
<tr><td>Kapslingsklass</td><td>IP23</td></tr>
<tr><td>Överbelastningsskydd</td><td>ja</td></tr>
<tr><td>Effekt max.</td><td>130 kg / h</td></tr>
<tr><td>Kontrollampa</td><td>Driftsklar, I drift</td></tr>
<tr><td>Anslutningsvärde</td><td>0.75 kW</td></tr>
<tr><td>Nödavstängning</td><td>ja</td></tr>
<tr><td>Material</td><td>Rostfritt stål</td></tr>
<tr><td>Frekvens</td><td>50 Hz</td></tr>
<tr><td>Hastighetsreglering</td><td>1 läge</td></tr>
<tr><td>Tidsinställning till</td><td>5 Minut/er</td></tr>
<tr><td>Timer</td><td>ja</td></tr>
<tr><td>Viktig information</td><td>-</td></tr>
</table>",Bartscher,Business & Industrial > Food Service,Förberedelse,"kategori:preparation, Förberedelse, marka:Bartscher, ana-urun, sira:0733, siparis-uzerine",TRUE,Title,Default Title,120198,38200,shopify,0,continue,manual,21637.20,,TRUE,TRUE,https://api.bartscher.com/occ/v2/permalink/image/120198/120198,1,Potatisskalare 10KG,FALSE,Potatisskalare 10KG,Nyskalad potatis utan en massa jobb – upp till 130 kg potatis i timme kan skalas med hjälp av friktionsskivan. Egenskaper som en timer och en nödavstängning sörjer för friktionsfritt och säkert arbete.,active,560,680,870,24,10
