Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status,Genişlik (product.metafields.piro.genislik),Derinlik (product.metafields.piro.derinlik),Yükseklik (product.metafields.piro.yukseklik),Garanti ay (product.metafields.piro.garanti),Teslim gün (product.metafields.piro.teslim)
professional-static-fresh-meat-display-counter-382x115xh122-unnp38212,Professional Static Fresh Meat Display Counter - 382x115xH122,"<h3>Teknik bilgiler</h3><table>
<tr><td>Temperaturområde</td><td>-2°C to +2°C Double gravity</td></tr>
<tr><td>Köldmedium</td><td>R290</td></tr>
</table>",Unninox,Business & Industrial > Food Service,Displaydiskar,"kategori:refrigeration, Kyla, alt:display-counters, Displaydiskar, marka:Unninox, ana-urun, sira:0999",TRUE,Title,Default Title,UNNP38212,0,shopify,0,deny,manual,17900.00,,TRUE,TRUE,https://unninoxeurope.com/wp-content/uploads/2026/07/vlees12.png,1,Professional Static Fresh Meat Display Counter - 382x115xH122,FALSE,Professional Static Fresh Meat Display Counter - 382x115xH122,Professional Static Fresh Meat Display Counter - 382x115xH122,active,,,,24,7
professional-static-fresh-meat-display-counter-382x115xh122-unnp38212,,,,,,,,,,,,,,,,,,,,https://unninoxeurope.com/wp-content/uploads/2026/07/KSS382120-M.jpg,2,Professional Static Fresh Meat Display Counter - 382x115xH122,,,,,,,,,
professional-static-fresh-meat-display-counter-382x115xh122-unnp38212,,,,,,,,,,,,,,,,,,,,https://unninoxeurope.com/wp-content/uploads/2026/07/KSS382120-M1.png,3,Professional Static Fresh Meat Display Counter - 382x115xH122,,,,,,,,,
professional-static-fresh-meat-display-counter-382x115xh122-unnp38212,,,,,,,,,,,,,,,,,,,,https://unninoxeurope.com/wp-content/uploads/2026/07/KSS.png,4,Professional Static Fresh Meat Display Counter - 382x115xH122,,,,,,,,,
wok-stove-gas-3-wok-burners-2-soup-burners-100-9kw-2450x850x1100mm-wk-3-2,Wok Stove | Gas | 3 Wok Burners & 2 Soup Burners | 100.9kW | 2450x850x1100mm,"<h3>Teknik bilgiler</h3><table>
<tr><td>Ölçüler</td><td>2450 × 850 × 1100 mm</td></tr>
</table>",Unninox,Business & Industrial > Food Service,Spisar & hällar,"kategori:cooking, Tillagning, alt:ranges-hobs, Spisar & hällar, marka:Unninox, ana-urun, sira:0995",TRUE,Title,Default Title,WK-3+2,0,shopify,1,deny,manual,12600.00,,TRUE,TRUE,https://unninoxeurope.com/wp-content/uploads/2025/02/WK-32.png,1,Wok Stove | Gas | 3 Wok Burners & 2 Soup Burners | 100.9kW | 2450x850x1100mm,FALSE,Wok Stove | Gas | 3 Wok Burners & 2 Soup Burners | 100.9kW | 2450x850x,Wok Stove | Gas | 3 Wok Burners & 2 Soup Burners | 100.9kW | 2450x850x1100mm,active,2450,850,1100,24,7
professional-static-fresh-meat-display-counter-258x115xh122-unnp25812,Professional Static Fresh Meat Display Counter – 258x115xH122,"<h3>Teknik bilgiler</h3><table>
<tr><td>Temperaturområde</td><td>-2°C to +2°C Double gravity</td></tr>
<tr><td>Köldmedium</td><td>R290</td></tr>
</table>",Unninox,Business & Industrial > Food Service,Displaydiskar,"kategori:refrigeration, Kyla, alt:display-counters, Displaydiskar, marka:Unninox, ana-urun, sira:0995",TRUE,Title,Default Title,UNNP25812,0,shopify,0,deny,manual,12550.00,,TRUE,TRUE,https://unninoxeurope.com/wp-content/uploads/2026/07/vlees12.png,1,Professional Static Fresh Meat Display Counter – 258x115xH122,FALSE,Professional Static Fresh Meat Display Counter – 258x115xH122,Professional Static Fresh Meat Display Counter – 258x115xH122,active,,,,24,7
professional-static-fresh-meat-display-counter-258x115xh122-unnp25812,,,,,,,,,,,,,,,,,,,,https://unninoxeurope.com/wp-content/uploads/2026/07/KSS382120-M.jpg,2,Professional Static Fresh Meat Display Counter – 258x115xH122,,,,,,,,,
professional-static-fresh-meat-display-counter-258x115xh122-unnp25812,,,,,,,,,,,,,,,,,,,,https://unninoxeurope.com/wp-content/uploads/2026/07/KSS382120-M1.png,3,Professional Static Fresh Meat Display Counter – 258x115xH122,,,,,,,,,
professional-static-fresh-meat-display-counter-258x115xh122-unnp25812,,,,,,,,,,,,,,,,,,,,https://unninoxeurope.com/wp-content/uploads/2026/07/KSS.png,4,Professional Static Fresh Meat Display Counter – 258x115xH122,,,,,,,,,
professional-static-fresh-meat-display-counter-1955x115xh122-unnp19812,Professional Static Fresh Meat Display Counter – 1955x115xH122,"<h3>Teknik bilgiler</h3><table>
<tr><td>Temperaturområde</td><td>-2°C to +2°C Double gravity</td></tr>
<tr><td>Köldmedium</td><td>R290</td></tr>
</table>",Unninox,Business & Industrial > Food Service,Displaydiskar,"kategori:refrigeration, Kyla, alt:display-counters, Displaydiskar, marka:Unninox, ana-urun, sira:0995",TRUE,Title,Default Title,UNNP19812,0,shopify,0,deny,manual,11550.00,,TRUE,TRUE,https://unninoxeurope.com/wp-content/uploads/2026/07/vlees12.png,1,Professional Static Fresh Meat Display Counter – 1955x115xH122,FALSE,Professional Static Fresh Meat Display Counter – 1955x115xH122,Professional Static Fresh Meat Display Counter – 1955x115xH122,active,,,,24,7
professional-static-fresh-meat-display-counter-1955x115xh122-unnp19812,,,,,,,,,,,,,,,,,,,,https://unninoxeurope.com/wp-content/uploads/2026/07/KSS382120-M.jpg,2,Professional Static Fresh Meat Display Counter – 1955x115xH122,,,,,,,,,
professional-static-fresh-meat-display-counter-1955x115xh122-unnp19812,,,,,,,,,,,,,,,,,,,,https://unninoxeurope.com/wp-content/uploads/2026/07/KSS382120-M1.png,3,Professional Static Fresh Meat Display Counter – 1955x115xH122,,,,,,,,,
professional-static-fresh-meat-display-counter-1955x115xh122-unnp19812,,,,,,,,,,,,,,,,,,,,https://unninoxeurope.com/wp-content/uploads/2026/07/KSS.png,4,Professional Static Fresh Meat Display Counter – 1955x115xH122,,,,,,,,,
spiral-mixer-200-l-125-kg-dough-2-speeds-400v-un200dg,Spiral Mixer – 200 L – 125 kg Dough – 2 Speeds – 400V,,Unninox,Business & Industrial > Food Service,Degblandare,"kategori:dough-flour, Deg & mjöl, alt:dough-mixers, Degblandare, marka:Unninox, ana-urun, sira:0994",TRUE,Title,Default Title,UN200DG,0,shopify,3,deny,manual,11500.00,,TRUE,TRUE,https://unninoxeurope.com/wp-content/uploads/2025/09/UNN200-3.png,1,Spiral Mixer – 200 L – 125 kg Dough – 2 Speeds – 400V,FALSE,Spiral Mixer – 200 L – 125 kg Dough – 2 Speeds – 400V,Spiral Mixer – 200 L – 125 kg Dough – 2 Speeds – 400V,active,,,,24,7
spiral-mixer-200-l-125-kg-dough-2-speeds-400v-un200dg,,,,,,,,,,,,,,,,,,,,https://unninoxeurope.com/wp-content/uploads/2025/09/UNN200-1.png,2,Spiral Mixer – 200 L – 125 kg Dough – 2 Speeds – 400V,,,,,,,,,
spiral-mixer-200-l-125-kg-dough-2-speeds-400v-un200dg,,,,,,,,,,,,,,,,,,,,https://unninoxeurope.com/wp-content/uploads/2025/09/UNN200-2.png,3,Spiral Mixer – 200 L – 125 kg Dough – 2 Speeds – 400V,,,,,,,,,
spiral-mixer-200-l-125-kg-dough-2-speeds-400v-un200dg,,,,,,,,,,,,,,,,,,,,https://unninoxeurope.com/wp-content/uploads/2025/09/UNN200-4.png,4,Spiral Mixer – 200 L – 125 kg Dough – 2 Speeds – 400V,,,,,,,,,
